"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"11698";11698;"2012-05-07";2;1;5;14;0;1;1;2;0,62;0,6212;0,5;0,3582;59;180;239
"11395";11395;"2012-04-24";2;1;4;23;0;2;1;1;0,42;0,4242;0,38;0,0896;4;69;73
"2225";2225;"2011-04-07";2;0;4;13;0;4;1;2;0,52;0,5;0,48;0,0896;36;99;135
"16501";16501;"2012-11-25";4;1;11;6;0;0;0;2;0,22;0,2424;0,47;0,1045;1;10;11
"9160";9160;"2012-01-22";1;1;1;13;0;0;0;2;0,16;0,1818;0,8;0,1343;24;175;199
"1604";1604;"2011-03-12";1;0;3;7;0;6;0;1;0,24;0,2273;0,7;0,194;4;19;23
"13825";13825;"2012-08-04";3;1;8;5;0;6;0;1;0,7;0,6667;0,84;0,2239;1;16;17
"4594";4594;"2011-07-15";3;0;7;7;0;5;1;1;0,64;0,6061;0,65;0,1045;17;257;274
"16686";16686;"2012-12-03";4;1;12;0;0;1;1;2;0,42;0,4242;0,82;0,1642;3;18;21
"5566";5566;"2011-08-24";3;0;8;19;0;3;1;1;0,74;0,6818;0,55;0,2985;93;347;440
"11183";11183;"2012-04-16";2;1;4;3;1;1;0;1;0,58;0,5455;0,68;0,194;3;5;8
"3968";3968;"2011-06-19";2;0;6;5;0;0;0;2;0,66;0,6061;0,78;0;7;12;19
"3972";3972;"2011-06-19";2;0;6;9;0;0;0;2;0,68;0,6364;0,74;0,1045;58;111;169
"9148";9148;"2012-01-22";1;1;1;1;0;0;0;2;0,18;0,1667;0,74;0,2985;1;49;50
"51";51;"2011-01-03";1;0;1;5;0;1;1;1;0,16;0,1364;0,47;0,2836;0;3;3
"12360";12360;"2012-06-04";2;1;6;4;0;1;1;1;0,54;0,5152;0,64;0,0896;2;6;8
"3260";3260;"2011-05-20";2;0;5;17;0;5;1;1;0,62;0,6212;0,53;0;71;483;554
"8581";8581;"2011-12-29";1;0;12;7;0;4;1;1;0,18;0,2121;0,64;0,0896;2;104;106
"246";246;"2011-01-11";1;0;1;14;0;2;1;2;0,2;0,2273;0,59;0,0896;3;60;63
"2907";2907;"2011-05-06";2;0;5;0;0;5;1;1;0,44;0,4394;0,44;0,1642;13;43;56
"4186";4186;"2011-06-28";3;0;6;7;0;2;1;1;0,68;0,6364;0,83;0,194;27;320;347
"9477";9477;"2012-02-04";1;1;2;18;0;6;0;3;0,28;0,2727;0,75;0,1642;6;58;64
"6248";6248;"2011-09-22";3;0;9;21;0;4;1;2;0,64;0,5758;0,89;0,0896;27;194;221
"12342";12342;"2012-06-03";2;1;6;10;0;0;0;1;0,62;0,6212;0,43;0,2239;127;277;404
"14950";14950;"2012-09-20";3;1;9;2;0;4;1;1;0,46;0,4545;0,72;0,0896;2;9;11
"9653";9653;"2012-02-12";1;1;2;3;0;0;0;2;0,1;0,0455;0,46;0,6866;0;14;14
"3280";3280;"2011-05-21";2;0;5;13;0;6;0;1;0,7;0,6364;0,45;0;191;271;462
"12614";12614;"2012-06-14";2;1;6;18;0;4;1;1;0,74;0,6667;0,42;0,194;107;716;823
"4171";4171;"2011-06-27";3;0;6;16;0;1;1;1;0,74;0,6818;0,55;0,1045;53;222;275
"13865";13865;"2012-08-05";3;1;8;21;0;0;0;1;0,72;0,697;0,79;0,1045;51;157;208
"394";394;"2011-01-17";1;0;1;21;1;1;0;3;0,16;0,1515;0,8;0,194;3;24;27
"8429";8429;"2011-12-22";1;0;12;20;0;4;1;3;0,42;0,4242;0,71;0;0;33;33
"13183";13183;"2012-07-08";3;1;7;11;0;0;0;1;0,92;0,8939;0,42;0,2985;120;269;389
"8744";8744;"2012-01-05";1;1;1;3;0;4;1;1;0,2;0,2576;0,61;0;0;4;4
"8364";8364;"2011-12-20";4;0;12;3;0;2;1;2;0,34;0,3636;0,61;0;1;1;2
"10466";10466;"2012-03-17";1;1;3;4;0;6;0;2;0,42;0,4242;0,94;0;0;2;2
"12514";12514;"2012-06-10";2;1;6;14;0;0;0;1;0,84;0,7273;0,3;0,1343;186;314;500
"3733";3733;"2011-06-09";2;0;6;10;0;4;1;1;0,86;0,8182;0,5;0,2836;20;74;94
"4155";4155;"2011-06-27";3;0;6;0;0;1;1;3;0,64;0,6061;0,73;0,2836;7;25;32
"9942";9942;"2012-02-24";1;1;2;6;0;5;1;2;0,4;0,4091;0,87;0,1642;2;80;82
"13956";13956;"2012-08-09";3;1;8;16;0;4;1;1;0,86;0,7727;0,39;0,2537;97;320;417
"4230";4230;"2011-06-30";3;0;6;3;0;4;1;1;0,6;0,6061;0,6;0,1642;2;7;9
"8402";8402;"2011-12-21";1;0;12;17;0;3;1;3;0,44;0,4394;1;0,3284;3;226;229
"5346";5346;"2011-08-15";3;0;8;15;0;1;1;3;0,74;0,6818;0,55;0,2985;49;133;182
"9379";9379;"2012-01-31";1;1;1;16;0;2;1;1;0,54;0,5152;0,26;0,4478;30;277;307
"5350";5350;"2011-08-15";3;0;8;19;0;1;1;1;0,7;0,6515;0,65;0;54;343;397
"9645";9645;"2012-02-11";1;1;2;19;0;6;0;2;0,2;0,1515;0,4;0,5522;2;85;87
"4047";4047;"2011-06-22";3;0;6;12;0;3;1;2;0,8;0,7727;0,59;0,2239;44;144;188
"5806";5806;"2011-09-04";3;0;9;8;0;0;0;1;0,66;0,6061;0,78;0,1642;21;49;70
"2060";2060;"2011-03-31";2;0;3;16;0;4;1;2;0,3;0,2879;0,87;0,2537;13;72;85
"4191";4191;"2011-06-28";3;0;6;12;0;2;1;1;0,84;0,7727;0,47;0,2239;41;161;202
"6026";6026;"2011-09-13";3;0;9;15;0;2;1;1;0,74;0,6667;0,51;0,2985;35;145;180
"17030";17030;"2012-12-17";4;1;12;8;0;1;1;2;0,38;0,3939;0,87;0,1045;10;582;592
"8422";8422;"2011-12-22";1;0;12;13;0;4;1;2;0,46;0,4545;0,63;0;21;167;188
"9129";9129;"2012-01-21";1;1;1;6;0;6;0;3;0,16;0,1667;0,93;0,1642;0;1;1
"16932";16932;"2012-12-13";4;1;12;6;0;4;1;1;0,26;0,2424;0,56;0,2537;2;112;114
"4979";4979;"2011-07-31";3;0;7;8;0;0;0;1;0,76;0,697;0,55;0,2239;54;88;142
"12221";12221;"2012-05-29";2;1;5;9;0;2;1;1;0,72;0,6818;0,7;0,2537;26;231;257
"16808";16808;"2012-12-08";4;1;12;2;0;6;0;2;0,36;0,3485;0,93;0,1343;3;67;70
"16165";16165;"2012-11-11";4;1;11;6;0;0;0;1;0,3;0,3182;0,87;0,0896;3;16;19
"4156";4156;"2011-06-27";3;0;6;1;0;1;1;2;0,62;0,5909;0,78;0,1343;4;11;15
"7215";7215;"2011-11-02";4;0;11;5;0;3;1;1;0,3;0,3333;0,81;0;0;27;27
"6997";6997;"2011-10-24";4;0;10;3;0;1;1;1;0,4;0,4091;0,82;0,0896;1;3;4
"1818";1818;"2011-03-21";2;0;3;11;0;1;1;2;0,42;0,4242;0,71;0,2985;32;47;79
"14621";14621;"2012-09-06";3;1;9;9;0;4;1;3;0,66;0,5909;0,94;0,1343;8;115;123
"2767";2767;"2011-04-30";2;0;4;4;0;6;0;2;0,42;0,4242;0,54;0,2239;2;5;7
"8891";8891;"2012-01-11";1;1;1;7;0;3;1;1;0,2;0,2121;0,8;0,1343;9;247;256
"16478";16478;"2012-11-24";4;1;11;7;0;6;0;2;0,26;0,2273;0,41;0,3284;4;21;25
"12911";12911;"2012-06-27";3;1;6;3;0;3;1;1;0,58;0,5455;0,46;0,0896;1;7;8
"2321";2321;"2011-04-11";2;0;4;14;0;1;1;2;0,72;0,6667;0,54;0,3582;60;85;145
"12991";12991;"2012-06-30";3;1;6;11;0;6;0;1;0,88;0,7727;0,3;0,2537;102;350;452
"7115";7115;"2011-10-29";4;0;10;1;0;6;0;3;0,3;0,2727;0,87;0,2985;0;18;18
"1633";1633;"2011-03-13";1;0;3;13;0;0;0;1;0,46;0,4545;0,38;0,3881;97;124;221
"14838";14838;"2012-09-15";3;1;9;10;0;6;0;1;0,62;0,6212;0,41;0,3881;119;323;442
"4393";4393;"2011-07-06";3;0;7;22;0;3;1;1;0,7;0,6667;0,79;0,194;30;156;186
"9156";9156;"2012-01-22";1;1;1;9;0;0;0;2;0,16;0,1515;0,74;0,2239;9;54;63
"3948";3948;"2011-06-18";2;0;6;9;0;6;0;1;0,7;0,6515;0,61;0,2239;62;156;218
"5384";5384;"2011-08-17";3;0;8;5;0;3;1;1;0,64;0,6061;0,73;0;0;28;28
"4001";4001;"2011-06-20";2;0;6;14;0;1;1;1;0,66;0,6212;0,61;0,1045;45;130;175
"150";150;"2011-01-07";1;0;1;12;0;5;1;2;0,2;0,197;0,37;0,2537;9;50;59
"6449";6449;"2011-10-01";4;0;10;6;0;6;0;1;0,42;0,4242;0,67;0,3284;4;15;19
"1546";1546;"2011-03-09";1;0;3;18;0;3;1;2;0,34;0,3182;0,76;0,2537;12;176;188
"11635";11635;"2012-05-04";2;1;5;23;0;5;1;1;0,6;0,5606;0,83;0,0896;51;205;256
"1786";1786;"2011-03-20";1;0;3;2;0;0;0;1;0,3;0,2879;0,52;0,2836;6;24;30
"9754";9754;"2012-02-16";1;1;2;8;0;4;1;2;0,3;0,3182;0,7;0,0896;9;489;498
"9324";9324;"2012-01-29";1;1;1;9;0;0;0;1;0,18;0,197;0,43;0,1343;13;98;111
"10942";10942;"2012-04-06";2;1;4;1;0;5;1;1;0,36;0,3485;0,62;0,1343;10;28;38
"5810";5810;"2011-09-04";3;0;9;12;0;0;0;1;0,76;0,7273;0,66;0,1642;214;221;435
"13509";13509;"2012-07-22";3;1;7;1;0;0;0;2;0,6;0,5455;0,88;0,1642;31;99;130
"2954";2954;"2011-05-07";2;0;5;23;0;6;0;1;0,5;0,4848;0,59;0,1045;30;89;119
"9562";9562;"2012-02-08";1;1;2;8;0;3;1;2;0,24;0,2273;0,7;0,2239;13;495;508
"15828";15828;"2012-10-26";4;1;10;16;0;5;1;2;0,58;0,5455;0,73;0,1642;137;445;582
"17010";17010;"2012-12-16";4;1;12;12;0;0;0;2;0,38;0,3939;0,82;0,194;67;350;417
"6253";6253;"2011-09-23";4;0;9;2;0;5;1;2;0,6;0,5;1;0,1045;6;14;20
"14747";14747;"2012-09-11";3;1;9;15;0;2;1;1;0,7;0,6364;0,28;0,1045;73;253;326
"13250";13250;"2012-07-11";3;1;7;6;0;3;1;1;0,64;0,5758;0,89;0,1343;17;168;185
"11025";11025;"2012-04-09";2;1;4;12;0;1;1;1;0,54;0,5152;0,28;0,7164;94;186;280
"13213";13213;"2012-07-09";3;1;7;17;0;1;1;1;0,78;0,697;0,4;0,1642;108;741;849
"7068";7068;"2011-10-27";4;0;10;2;0;4;1;3;0,46;0,4545;0,94;0;3;5;8
"10523";10523;"2012-03-19";1;1;3;13;0;1;1;1;0,62;0,6061;0,61;0,2537;69;194;263
"12582";12582;"2012-06-13";2;1;6;10;0;3;1;2;0,64;0,6061;0,65;0,4179;64;134;198
"1541";1541;"2011-03-09";1;0;3;13;0;3;1;2;0,32;0,2879;0,76;0,3582;17;82;99
"16598";16598;"2012-11-29";4;1;11;8;0;4;1;1;0,2;0,2273;0,69;0,1045;15;664;679
"3236";3236;"2011-05-19";2;0;5;17;0;4;1;1;0,56;0,5303;0,78;0,1642;60;487;547
"5207";5207;"2011-08-09";3;0;8;20;0;2;1;1;0,8;0,7273;0,43;0,194;34;258;292
"15844";15844;"2012-10-27";4;1;10;8;0;6;0;1;0,5;0,4848;0,77;0,2537;26;187;213
"442";442;"2011-01-20";1;0;1;10;0;4;1;1;0,26;0,2273;0,48;0,2985;1;56;57
"14003";14003;"2012-08-11";3;1;8;15;0;6;0;1;0,8;0,7273;0,46;0,2836;246;316;562
"10229";10229;"2012-03-07";1;1;3;6;0;3;1;1;0,28;0,2576;0,61;0,3881;4;104;108
"7811";7811;"2011-11-27";4;0;11;1;0;0;0;1;0,36;0,3788;0,81;0;9;35;44
"12607";12607;"2012-06-14";2;1;6;11;0;4;1;1;0,66;0,6212;0,57;0,2537;60;168;228
"17099";17099;"2012-12-20";4;1;12;5;0;4;1;2;0,3;0,3182;0,7;0,1045;0;35;35
"14736";14736;"2012-09-11";3;1;9;4;0;2;1;1;0,48;0,4697;0,72;0,1045;1;8;9
"3811";3811;"2011-06-12";2;0;6;16;0;0;0;3;0,68;0,6364;0,83;0,2836;115;235;350
"16230";16230;"2012-11-13";4;1;11;23;0;2;1;1;0,26;0,2273;0,56;0,2985;6;78;84
"16099";16099;"2012-11-08";4;1;11;12;0;4;1;1;0,4;0,4091;0,24;0,4925;33;202;235
"7293";7293;"2011-11-05";4;0;11;11;0;6;0;1;0,36;0,3636;0,46;0,1045;69;169;238
"13401";13401;"2012-07-17";3;1;7;13;0;2;1;1;0,92;0,8182;0,31;0,194;53;168;221
"5827";5827;"2011-09-05";3;0;9;5;1;1;0;2;0,66;0,6212;0,74;0,1642;2;4;6
"9110";9110;"2012-01-20";1;1;1;11;0;5;1;2;0,2;0,1818;0,32;0,3582;6;117;123
"5388";5388;"2011-08-17";3;0;8;9;0;3;1;1;0,74;0,6667;0,48;0,0896;31;178;209
"10025";10025;"2012-02-27";1;1;2;17;0;1;1;1;0,54;0,5152;0,24;0,4478;26;503;529
"502";502;"2011-01-22";1;0;1;23;0;6;0;1;0,04;0,0758;0,57;0,1045;2;31;33
"16171";16171;"2012-11-11";4;1;11;12;0;0;0;1;0,5;0,4848;0,48;0,0896;195;390;585
"7311";7311;"2011-11-06";4;0;11;5;0;0;0;1;0,24;0,2424;0,87;0,1343;0;5;5
"17345";17345;"2012-12-30";1;1;12;13;0;0;0;1;0,3;0,2576;0,36;0,6567;49;120;169
"5426";5426;"2011-08-18";3;0;8;23;0;4;1;2;0,7;0,6667;0,74;0,1343;20;94;114
"8522";8522;"2011-12-26";1;0;12;19;1;1;0;1;0,3;0,3182;0,65;0,0896;16;49;65
"14557";14557;"2012-09-03";3;1;9;17;1;1;0;1;0,74;0,697;0,7;0,1343;181;317;498
"14338";14338;"2012-08-25";3;1;8;14;0;6;0;3;0,66;0,6212;0,65;0,2537;150;332;482
"8234";8234;"2011-12-14";4;0;12;17;0;3;1;2;0,36;0,3636;0,57;0,1045;19;377;396
"17020";17020;"2012-12-16";4;1;12;22;0;0;0;2;0,4;0,4091;0,82;0,194;6;83;89
"12479";12479;"2012-06-09";2;1;6;3;0;6;0;1;0,62;0,6212;0,57;0;12;28;40
"17231";17231;"2012-12-25";1;1;12;19;1;2;0;2;0,32;0,303;0,66;0,2239;16;20;36
"4411";4411;"2011-07-07";3;0;7;16;0;4;1;1;0,86;0,7727;0,39;0,2239;47;218;265
"12855";12855;"2012-06-24";3;1;6;19;0;0;0;1;0,8;0,7121;0,38;0,2985;176;247;423
"6766";6766;"2011-10-14";4;0;10;11;0;5;1;3;0,52;0,5;0,88;0,1642;11;76;87
"12804";12804;"2012-06-22";3;1;6;16;0;5;1;1;0,9;0,803;0,31;0,2239;67;313;380
"8514";8514;"2011-12-26";1;0;12;11;1;1;0;1;0,34;0,2879;0,46;0,5821;40;51;91
"6886";6886;"2011-10-19";4;0;10;12;0;3;1;3;0,52;0,5;0,94;0,3284;13;117;130
"4228";4228;"2011-06-30";3;0;6;1;0;4;1;1;0,64;0,6212;0,53;0,1343;13;19;32
"6845";6845;"2011-10-17";4;0;10;18;0;1;1;1;0,56;0,5303;0,6;0;49;469;518
"1718";1718;"2011-03-17";1;0;3;5;0;4;1;1;0,32;0,3333;0,76;0,1045;0;13;13
"4990";4990;"2011-07-31";3;0;7;19;0;0;0;1;0,8;0,7576;0,55;0,3284;87;187;274
"6314";6314;"2011-09-25";4;0;9;15;0;0;0;2;0,66;0,6061;0,78;0;119;234;353
"5137";5137;"2011-08-06";3;0;8;22;0;6;0;2;0,7;0,6667;0,84;0,3284;24;96;120
"7193";7193;"2011-11-01";4;0;11;7;0;2;1;1;0,34;0,3333;0,76;0,194;8;246;254
"9992";9992;"2012-02-26";1;1;2;8;0;0;0;1;0,2;0,197;0,51;0,2537;2;57;59
"2704";2704;"2011-04-27";2;0;4;13;0;3;1;1;0,64;0,5909;0,78;0,2985;31;119;150
"14165";14165;"2012-08-18";3;1;8;9;0;6;0;1;0,66;0,6212;0,65;0,2836;81;211;292
"5986";5986;"2011-09-11";3;0;9;22;0;0;0;1;0,62;0,6061;0,69;0,3881;21;74;95
"13851";13851;"2012-08-05";3;1;8;7;0;0;0;1;0,74;0,7121;0,74;0,2985;18;50;68
"9607";9607;"2012-02-10";1;1;2;5;0;5;1;1;0,24;0,2273;0,52;0,2239;0;17;17
"4394";4394;"2011-07-06";3;0;7;23;0;3;1;1;0,68;0,6364;0,83;0,2239;20;78;98
"6328";6328;"2011-09-26";4;0;9;5;0;1;1;2;0,62;0,5606;0,88;0;0;25;25
"6244";6244;"2011-09-22";3;0;9;17;0;4;1;2;0,66;0,6061;0,78;0,0896;50;513;563
"16753";16753;"2012-12-05";4;1;12;19;0;3;1;1;0,38;0,3939;0,43;0,3582;14;400;414
"10376";10376;"2012-03-13";1;1;3;10;0;2;1;1;0,52;0,5;0,77;0,2239;28;115;143
"6169";6169;"2011-09-19";3;0;9;14;0;1;1;2;0,6;0,6061;0,6;0,194;45;143;188
"4568";4568;"2011-07-14";3;0;7;5;0;4;1;1;0,6;0,6212;0,56;0,2239;6;22;28
"9865";9865;"2012-02-21";1;1;2;0;0;2;1;1;0,26;0,303;0,65;0;1;11;12
"7367";7367;"2011-11-08";4;0;11;13;0;2;1;1;0,54;0,5152;0,49;0,1642;31;165;196
"13780";13780;"2012-08-02";3;1;8;8;0;4;1;1;0,72;0,697;0,74;0,1045;21;718;739
"6139";6139;"2011-09-18";3;0;9;8;0;0;0;1;0,46;0,4545;0,72;0,2537;16;53;69
"10163";10163;"2012-03-04";1;1;3;12;0;0;0;1;0,34;0,303;0,42;0,3582;71;256;327
"934";934;"2011-02-11";1;0;2;12;0;5;1;1;0,22;0,2273;0,47;0,1343;7;64;71
"7196";7196;"2011-11-01";4;0;11;10;0;2;1;1;0,44;0,4394;0,62;0,1343;21;114;135
"7428";7428;"2011-11-11";4;0;11;2;1;5;0;1;0,32;0,2879;0,57;0,2836;1;10;11
"11784";11784;"2012-05-11";2;1;5;4;0;5;1;1;0,42;0,4242;0,5;0,194;3;6;9
"15004";15004;"2012-09-22";3;1;9;8;0;6;0;1;0,6;0,5909;0,73;0,2985;21;197;218
"5440";5440;"2011-08-19";3;0;8;13;0;5;1;2;0,76;0,7121;0,62;0,194;63;169;232
"17195";17195;"2012-12-24";1;1;12;6;0;1;1;1;0,2;0,2576;0,75;0;1;16;17
"761";761;"2011-02-04";1;0;2;2;0;5;1;2;0,14;0,1667;0,63;0,1045;0;1;1
"1576";1576;"2011-03-11";1;0;3;2;0;5;1;3;0,34;0,3485;1;0,1045;2;3;5
"9684";9684;"2012-02-13";1;1;2;10;0;1;1;1;0,14;0,1515;0,5;0,1343;1;70;71
"10586";10586;"2012-03-22";2;1;3;4;0;4;1;2;0,48;0,4697;1;0,0896;0;6;6
"14398";14398;"2012-08-28";3;1;8;2;0;2;1;1;0,68;0,6364;0,83;0,2537;2;13;15
"10321";10321;"2012-03-11";1;1;3;3;0;0;0;1;0,24;0,2424;0,6;0,1343;15;51;66
"8703";8703;"2012-01-03";1;1;1;10;0;2;1;1;0,16;0,1212;0,47;0,4627;5;55;60
"6934";6934;"2011-10-21";4;0;10;12;0;5;1;1;0,5;0,4848;0,45;0,2985;47;193;240
"2913";2913;"2011-05-06";2;0;5;6;0;5;1;1;0,36;0,3636;0,81;0,0896;8;74;82
"15853";15853;"2012-10-27";4;1;10;17;0;6;0;2;0,56;0,5303;0,64;0,2836;248;370;618
"15068";15068;"2012-09-25";4;1;9;0;0;2;1;1;0,46;0,4545;0,67;0,1642;8;56;64
"9769";9769;"2012-02-16";1;1;2;23;0;4;1;1;0,32;0,3333;0,81;0,0896;3;70;73
"15043";15043;"2012-09-23";4;1;9;23;0;0;0;2;0,5;0,4848;0,59;0,1045;30;70;100
"1836";1836;"2011-03-22";2;0;3;5;0;2;1;2;0,4;0,4091;0,87;0,1343;1;11;12
"12854";12854;"2012-06-24";3;1;6;18;0;0;0;1;0,82;0,7273;0,34;0,2537;186;348;534
"8284";8284;"2011-12-16";4;0;12;19;0;5;1;2;0,32;0,303;0,45;0,2239;11;203;214
"9220";9220;"2012-01-25";1;1;1;1;0;3;1;1;0,3;0,2879;0,7;0,2239;4;9;13
"14063";14063;"2012-08-14";3;1;8;3;0;2;1;2;0,68;0,6364;0,83;0,194;0;3;3
"3198";3198;"2011-05-18";2;0;5;3;0;3;1;3;0,52;0,5;0,94;0,2985;6;3;9
"7349";7349;"2011-11-07";4;0;11;19;0;1;1;1;0,46;0,4545;0,59;0;20;280;300
"5877";5877;"2011-09-07";3;0;9;8;0;3;1;3;0,62;0,5455;0,94;0,0896;9;319;328
"8197";8197;"2011-12-13";4;0;12;4;0;2;1;1;0,2;0,2576;0,8;0;0;4;4
"11193";11193;"2012-04-16";2;1;4;13;1;1;0;1;0,74;0,6667;0,45;0,2985;79;184;263
"5424";5424;"2011-08-18";3;0;8;21;0;4;1;2;0,68;0,6364;0,79;0;12;137;149
"12542";12542;"2012-06-11";2;1;6;18;0;1;1;2;0,8;0,7273;0,43;0,2985;105;726;831
"14559";14559;"2012-09-03";3;1;9;19;1;1;0;1;0,72;0,697;0,74;0,194;73;301;374
"1586";1586;"2011-03-11";1;0;3;13;0;5;1;1;0,36;0,3333;0,53;0,2537;15;92;107
"11646";11646;"2012-05-05";2;1;5;10;0;6;0;1;0,66;0,6212;0,65;0,1343;148;284;432
"3245";3245;"2011-05-20";2;0;5;2;0;5;1;1;0,44;0,4394;1;0,0896;4;4;8
"16519";16519;"2012-11-26";4;1;11;0;0;1;1;1;0,22;0,2727;0,69;0;4;19;23
"8933";8933;"2012-01-13";1;1;1;1;0;5;1;2;0,38;0,3939;0,76;0,2985;0;12;12
"13794";13794;"2012-08-02";3;1;8;22;0;4;1;1;0,74;0,697;0,7;0,194;35;227;262
"10709";10709;"2012-03-27";2;1;3;7;0;2;1;1;0,22;0,2273;0,37;0,194;9;277;286
"2366";2366;"2011-04-13";2;0;4;11;0;3;1;2;0,42;0,4242;0,82;0,194;4;57;61
"6";6;"2011-01-01";1;0;1;5;0;6;0;2;0,24;0,2576;0,75;0,0896;0;1;1
"15997";15997;"2012-11-04";4;1;11;5;0;0;0;1;0,26;0,2727;0,65;0,1045;0;5;5
"7819";7819;"2011-11-27";4;0;11;9;0;0;0;1;0,46;0,4545;0,72;0,2836;21;90;111
"8104";8104;"2011-12-09";4;0;12;7;0;5;1;1;0,22;0,2576;0,75;0,0896;4;195;199
"5044";5044;"2011-08-03";3;0;8;1;0;3;1;2;0,78;0,7121;0,52;0,1642;7;9;16
"11352";11352;"2012-04-23";2;1;4;4;0;1;1;3;0,3;0,2879;0,81;0,2836;0;3;3
"8023";8023;"2011-12-05";4;0;12;22;0;1;1;2;0,44;0,4394;0,88;0,1343;12;94;106
"2972";2972;"2011-05-08";2;0;5;17;0;0;0;3;0,58;0,5455;0,49;0,2836;106;245;351
"511";511;"2011-01-23";1;0;1;9;0;0;0;1;0,1;0,0758;0,54;0,3582;3;25;28
"15661";15661;"2012-10-19";4;1;10;17;0;5;1;3;0,62;0,6061;0,69;0,3582;48;377;425
"5395";5395;"2011-08-17";3;0;8;16;0;3;1;1;0,82;0,7424;0,43;0,2239;62;238;300
"13559";13559;"2012-07-24";3;1;7;3;0;2;1;1;0,66;0,6061;0,83;0,1642;1;5;6
"6536";6536;"2011-10-04";4;0;10;21;0;2;1;1;0,5;0,4848;0,72;0,1343;22;144;166
"15630";15630;"2012-10-18";4;1;10;10;0;4;1;2;0,52;0,5;0,68;0,2239;60;158;218
"11798";11798;"2012-05-11";2;1;5;18;0;5;1;1;0,64;0,6061;0,23;0,2836;78;518;596
"607";607;"2011-01-28";1;0;1;12;0;5;1;3;0,18;0,2121;0,93;0,1045;1;28;29
"13459";13459;"2012-07-19";3;1;7;23;0;4;1;3;0,66;0,5909;0,89;0,2239;3;62;65
"11540";11540;"2012-05-01";2;1;5;0;0;2;1;2;0,5;0,4848;0,59;0,194;7;28;35
"11196";11196;"2012-04-16";2;1;4;16;1;1;0;1;0,8;0,697;0,33;0,4627;92;266;358
"10972";10972;"2012-04-07";2;1;4;7;0;6;0;1;0,32;0,303;0,33;0,2836;14;40;54
"2143";2143;"2011-04-04";2;0;4;3;0;1;1;1;0,38;0,3939;0,66;0,2836;1;0;1
"495";495;"2011-01-22";1;0;1;16;0;6;0;1;0,12;0,1364;0,28;0,194;11;72;83
"12063";12063;"2012-05-22";2;1;5;19;0;2;1;1;0,66;0,6212;0,69;0,2239;44;320;364
"5051";5051;"2011-08-03";3;0;8;8;0;3;1;2;0,74;0,6667;0,51;0,1642;29;408;437
"1761";1761;"2011-03-19";1;0;3;1;0;6;0;2;0,58;0,5455;0,46;0,3582;16;35;51
"8984";8984;"2012-01-15";1;1;1;4;0;0;0;2;0,16;0,1364;0,47;0,3881;1;5;6
"12475";12475;"2012-06-08";2;1;6;23;0;5;1;1;0,64;0,6212;0,57;0,1642;52;163;215
"11561";11561;"2012-05-01";2;1;5;21;0;2;1;1;0,64;0,6061;0,65;0,1343;31;251;282
"6123";6123;"2011-09-17";3;0;9;16;0;6;0;1;0,54;0,5152;0,68;0,2537;116;189;305
"14611";14611;"2012-09-05";3;1;9;23;0;3;1;1;0,7;0,6667;0,84;0,0896;24;126;150
"9252";9252;"2012-01-26";1;1;1;9;0;4;1;2;0,3;0,3333;0,81;0;18;256;274
"5680";5680;"2011-08-30";3;0;8;2;0;2;1;1;0,54;0,5152;0,73;0,1045;2;8;10
"8824";8824;"2012-01-08";1;1;1;11;0;0;0;1;0,36;0,3485;0,46;0,2239;55;201;256
"12049";12049;"2012-05-22";2;1;5;5;0;2;1;3;0,56;0,5303;0,88;0,194;0;17;17
"3368";3368;"2011-05-25";2;0;5;5;0;3;1;1;0,56;0,5303;0,88;0,0896;2;23;25
"866";866;"2011-02-08";1;0;2;12;0;2;1;1;0,24;0,197;0,38;0,4925;2;63;65
"539";539;"2011-01-24";1;0;1;14;0;1;1;2;0,14;0,1364;0,46;0,2239;2;43;45
"9305";9305;"2012-01-28";1;1;1;14;0;6;0;1;0,38;0,3939;0,5;0,3881;123;239;362
"626";626;"2011-01-29";1;0;1;8;0;6;0;1;0,18;0,197;0,55;0,1642;3;31;34
"12899";12899;"2012-06-26";3;1;6;15;0;2;1;1;0,72;0,6515;0,28;0,4627;88;229;317
"3350";3350;"2011-05-24";2;0;5;11;0;2;1;1;0,74;0,6667;0,51;0,2239;33;142;175
"6122";6122;"2011-09-17";3;0;9;15;0;6;0;2;0,52;0,5;0,72;0,194;148;206;354
"15958";15958;"2012-11-02";4;1;11;14;0;5;1;2;0,4;0,4091;0,4;0,4925;63;199;262
"16114";16114;"2012-11-09";4;1;11;3;0;5;1;1;0,32;0,2879;0,53;0,4179;3;6;9
"1406";1406;"2011-03-03";1;0;3;20;0;4;1;1;0,2;0,2273;0,4;0,0896;1;69;70
"6136";6136;"2011-09-18";3;0;9;5;0;0;0;1;0,44;0,4394;0,77;0,2239;1;5;6
"2185";2185;"2011-04-05";2;0;4;21;0;2;1;1;0,34;0,2879;0,46;0,5224;8;81;89
"8098";8098;"2011-12-09";4;0;12;1;0;5;1;1;0,24;0,2879;0,65;0;2;12;14
"9821";9821;"2012-02-19";1;1;2;3;0;0;0;2;0,3;0,2879;0,36;0,2239;3;12;15
"15361";15361;"2012-10-07";4;1;10;5;0;0;0;2;0,44;0,4394;0,54;0,1343;2;8;10
